20:05:10 (00:04:46) (chat)  KoT_poluenot: Денис, а ты будешь в костюме кодзимы?
20:05:11 (00:04:47) (chat)  AlexanderRoman: Привет, Денис!) Пропишите бан @princessintears Всем Приятного Просмотра wlgAsm и до Встречи wlgPled wlgMug
20:05:12 (00:04:47) (chat)  Warrange: wlgPray
20:05:12 (00:04:47) (chat)  fox6fox: HYPERCLAP
20:05:12 (00:04:47) (chat)  LionSPb: wlgPizza wlgPizza wlgPizza wlgPizza
20:05:12 (00:04:48) (chat)  pendragon186: DogePls
20:05:12 (00:04:48) (chat)  princessintears: DogePls
20:05:12 (00:04:48) (chat)  iMisao: wlgHype wlgHype wlgHype wlgHype
20:05:14 (00:04:49) (chat)  ChlamydiaEvgrafovna: @medieval1495 wlg5 wlgCheers
20:05:14 (00:04:49) (chat)  Leona_kiki: PogChamp PogChamp PogChamp PogChamp PogChamp
20:05:15 (00:04:50) (chat)  Demonic_smile: всем привет) Keepo
20:05:15 (00:04:50) (chat)  medieval1495: @princessintears wlgLuv wlgLuv wlgPled wlgMug
20:05:18 (00:04:53) (chat)  princessintears: DogePls DogePls
20:05:18 (00:04:54) (chat)  NozkaStula: Гениально !
20:05:19 (00:04:54) (chat)  ChlamydiaEvgrafovna: wlg5 wlg5 wlg5 wlg5 wlg5
20:05:20 (00:04:55) (chat)  Warrange: LUL LUL LUL
20:05:20 (00:04:55) (chat)  kawa_blelele: wlgAsm wlgAsm wlgAsm wlgAsm
20:05:20 (00:04:56) (chat)  DRAGOBLOIDD: Не понял
20:05:20 (00:04:56) (chat)  firestorm_cat: wlgPizza wlgPizza wlgPizza
20:05:21 (00:04:56) (chat)  KefkaWizardus: неверхудо?
20:05:21 (00:04:57) (chat)  ice_bearrr: bongotap
